"filename", "language", "Java Properties", "Batch", "Markdown", "JSON", "XML", "Java", "comment", "blank", "total"
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\EditPostActivity.java", "Java", 0, 0, 0, 0, 0, 170, 11, 28, 209
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\HomeActivity.java", "Java", 0, 0, 0, 0, 0, 20084, 663, 8036, 28783
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\LoginActivity.java", "Java", 0, 0, 0, 0, 0, 322, 14, 45, 381
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\MyPostsActivity.java", "Java", 0, 0, 0, 0, 0, 148, 6, 22, 176
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\NotificationActivity.java", "Java", 0, 0, 0, 0, 0, 93, 2, 14, 109
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\ProfileActivity.java", "Java", 0, 0, 0, 0, 0, 337, 18, 58, 413
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\PropertyListActivity.java", "Java", 0, 0, 0, 0, 0, 298, 16, 34, 348
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\ResetPasswordActivity.java", "Java", 0, 0, 0, 0, 0, 57, 1, 11, 69
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\SettingsActivity.java", "Java", 0, 0, 0, 0, 0, 66, 1, 13, 80
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\SignupActivity.java", "Java", 0, 0, 0, 0, 0, 221, 11, 21, 253
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\ToastMaker.java", "Java", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\ui\UploadActivity.java", "Java", 0, 0, 0, 0, 0, 292, 33, 48, 373
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\java\com\example\praveen_investate\utils\ProfileManager.java", "Java", 0, 0, 0, 0, 0, 52, 0, 17, 69
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\cloud_background.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\glass_background.xml", "XML", 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 170, 0, 0, 1, 171
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 30
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\message_bubble_sent.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\profilepicrad.xml", "XML", 0, 0, 0, 0, 14, 0, 0, 3, 17
